id	title	description	link	image_link	additional_image_link	availability	price	sale_price	cost_of_goods_sold	brand	gtin	mpn	identifier_exists	product_type	product_weight	shipping_weight	google_product_category	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	condition	adult	age_group	gender	color	material	pattern	size	certification	item_group_id	unit_pricing_measure
BE-TP-000001-SM	Ava  bézs póló	Női bézs póló casual stílusban, ideális mindennapi viseletre. Nagyon kényelmes.	https://www.horandrashop.hu/ava-bezs-polo-616?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123033.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_145557.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123031.webp	in_stock	5990 HUF		3556 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Sandy Bloom			New	No			Bézs			S/M		BE-TP-000001-SM	
BLA-OV-000003-OSI	Raven overál	Stílusos és kényelmes overál, amely ideális minden programhoz.  Szuper választás egész napra. Az overálok nagy előnye, hogy nem kell gondolkoznod, milyen felső és alsó részt vegyél fel, csak belebújsz és kész is! Nekem ez szerelemdarab lett első látásra.	https://www.horandrashop.hu/raven-overal-625?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170943.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_171533.webp	in_stock	11990 HUF	11270 HUF	7239 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Midnight Touch			New	No			Fekete			One size		BLA-OV-000003-OSI	
BLA-DR-000004-OSI	Selina ruha	A casual tréningruha egyszerre stílusos és kényelmes. Ez az a ruha, amit csak felkapsz, ha nem tudod, mit vegyél fel, vagy csak gyorsan el kell intézni valamit. Laza szabású, könnyű benne mozogni, sportos, mégis az arany betétek miatt nagyon csinos is. Egyméretes, M-XL-es méretre ajánlom	https://www.horandrashop.hu/selina-ruha-628?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_160642.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_160529.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_143646.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_143712.webp	in_stock	9990 HUF		7239 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Midnight Touch			New	No			Fekete			One size		BLA-DR-000004-OSI	
BLA-ST-000005-OSI	Onyx fekete szett	Az Onyx szett egy nagyon csinos és kifinomult összeállítás, mely egy ujjatlan felsőből és egy nadrágból áll. A felsőn nagyon szép gombok vannak, amik különlegessé teszik a megjelenést. 	https://www.horandrashop.hu/onyx-fekete-szett-631?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120630.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_121324.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120650.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120630A.webp	in_stock	13990 HUF		9525 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Midnight Touch			New	No			Fekete			One size		BLA-ST-000005-OSI	
BLA-DR-000006-S	Leona alkalmi ruha	Ez a ruha egy csoda. A fekete egyszerű szabást nagyszerűen kiemelik a különleges mintájú buggyos ujjak. 	https://www.horandrashop.hu/leona-alkalmi-ruha-634?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_114846.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_115138.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_114911.webp	in_stock	15990 HUF		9271 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Midnight Touch	Urban Jungle		New	No			Fekete			S		BLA-DR-000006-S	
LEO-ST-000007-OSI	Cleo szett	Lendületes és vagány megjelenés egyetlen szettben! Ez az együttes egy merész leopárd mintás rövid nadrágból és egy klasszikus, letisztult fekete pólóból áll, melynek szegélyeit szintén leopárd minta díszíti! Nagyon kényelmes, könnyű anyag! S-L-es méretig ajánlom!	https://www.horandrashop.hu/cleo-szett-637?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_112731.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_112603.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_151314.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/00053t.jpg	in_stock	10990 HUF		6350 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Urban Jungle			New	No			Leopárd			One size		LEO-ST-000007-OSI	
BLU-DR-000008-OSI	Sail kék ruha	Ujjatlan , csíkos nyári ruha dekoratív fodrokkal és kerek nyakkivágással. Nagyon kényelmes és jár hozzá egy ajándék öv is, ami nagyon feldobja a megjelenést. Választhatsz hozzá fehér, fekete, kék, bézs kiegészítőket is!	https://www.horandrashop.hu/sail-kek-ruha-640?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_162458.webp		in_stock	9990 HUF		4445 HUF				No	Ruházat > Ruhák				Kollekciók	Blue Moon	Ruhák			New	No			Kék			One size		BLU-DR-000008-OSI	
PIN-DR-000009-OSI	Sail rózsaszín ruha	Ujjatlan nyári , csíkos ruha dekoratív fodrokkal és kerek nyakkivágással. Nagyon kényelmes, igazi alapdarab! Az övet ajándékba kapod hozzá!	https://www.horandrashop.hu/sail-rozsaszin-ruha-643?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_162106.webp		in_stock	9990 HUF		4445 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Sweet Rose			New	No			Rózsaszín			One size		PIN-DR-000009-OSI	
BLU-DR-0000010-OSI	Marina ruha	Engedd, hogy a természet szépsége magával ragadjon ebben a lenyűgöző, kék alapon virágos és levelekkel díszített hosszú ruhában! Középtájon elöl húzott az anyag, így kitűnően formálja az alakot.  	https://www.horandrashop.hu/marina-ruha-646?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120033.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_115736.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/20250601_115724.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_144211.webp	in_stock	9990 HUF		5334 HUF				No	Ruházat > Ruhák				Kollekciók	Blue Moon	Ruhák			New	No			Kék			One size		BLU-DR-0000010-OSI	
BLU-SK-0000011-OSI	Aura hosszú szoknya	Ez a világoskék hosszú szoknya könnyed, légies anyagból készült, amely bájos virágmintával van díszítve, így tökéletes választás a tavaszi és nyári napokra.	https://www.horandrashop.hu/aura-hosszu-szoknya-649?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152628.webp		in_stock	8990 HUF		4826 HUF				No	Ruházat > Szoknyák				Kollekciók	Blue Moon	Szoknyák			New	No			Kék			One size		BLU-SK-0000011-OSI	
